genus,Genus_0,Genus_1,Genus_2,Genus_3,Genus_4,Genus_5,Genus_6,Genus_7,Genus_8,Genus_9
Genus_0,0.0,0.0004334350939247555,0.0004826315575716009,0.00042850847496275204,0.0003965721461986998,0.00048487697393065474,0.0004551320234364989,0.0005544771458656514,0.00044315594185431045,0.0005737934222446564
Genus_1,0.0004334350939247555,0.0,0.0004777457117149485,0.0003273810547510997,0.0003502219158216555,0.0005860938040165028,0.00039270385484664356,0.00041687147841289483,0.0004888363814427541,0.0005774505481224982
Genus_2,0.0004826315575716009,0.0004777457117149485,0.0,0.0004095760762918516,0.0003259318422858979,0.00045801297001774906,0.0003330997396236036,0.00040655781760895265,0.00037281904051940596,0.00037003771651355783
Genus_3,0.00042850847496275204,0.0003273810547510997,0.0004095760762918516,0.0,0.0003503768617927609,0.0004237533285505997,0.0003825799677010511,0.00044429075991900144,0.0004287655800344595,0.000507888206569306
Genus_4,0.0003965721461986998,0.0003502219158216555,0.0003259318422858979,0.0003503768617927609,0.0,0.0005010228221198572,0.00031207541976010204,0.0004199029963655519,0.00036160728510800243,0.000419640833306551
Genus_5,0.00048487697393065474,0.0005860938040165028,0.00045801297001774906,0.0004237533285505997,0.0005010228221198572,0.0,0.0005437675849900516,0.0005812824667206027,0.0004926540081094522,0.0005457278649292048
Genus_6,0.0004551320234364989,0.00039270385484664356,0.0003330997396236036,0.0003825799677010511,0.00031207541976010204,0.0005437675849900516,0.0,0.00046185216352135017,0.0004386998706276038,0.00044086414986195744
Genus_7,0.0005544771458656514,0.00041687147841289483,0.00040655781760895265,0.00044429075991900144,0.0004199029963655519,0.0005812824667206027,0.00046185216352135017,0.0,0.0003903382932027482,0.0004174277574879007
Genus_8,0.00044315594185431045,0.0004888363814427541,0.00037281904051940596,0.0004287655800344595,0.00036160728510800243,0.0004926540081094522,0.0004386998706276038,0.0003903382932027482,0.0,0.000390009150599853
Genus_9,0.0005737934222446564,0.0005774505481224982,0.00037003771651355783,0.000507888206569306,0.000419640833306551,0.0005457278649292048,0.00044086414986195744,0.0004174277574879007,0.000390009150599853,0.0
